Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,DOI,
"Matava, William; Klein, Kyle; Abouzahr, Firas; Layden, Christopher; Sadam, Akhil; Cesar, John; Park, Shawn; Do, Trang; Koptelova, Victoria; Truong, Tri; ",Cost-Effective Depth-Encoding Methods for Time-of-Flight PET Scanners,APS April Meeting Abstracts,2022,,D08. 004,2022,,https://ui.adsabs.harvard.edu/abs/2022APS..APRD08004M/abstract,
"Dwyer, Matthew; Shoemaker, Devan; Sadam, Akhil; Markert, John; ","Measurement of Phonon Angular Momentum via the Einstein-de Haas Effect, Fiber-Optic Interferometry, and a High-Q Oscillator",APS March Meeting Abstracts,2022,,K31. 001,2022,,https://ui.adsabs.harvard.edu/abs/2022APS..MARK31001D/abstract,
"Sadam, Akhil; Layden, Christopher; Klein, Kyle; Matava, William; Lang, Karol; ",An Inexpensive Polyvinyltoulene Barrel PET Scanner Design,APS April Meeting Abstracts,2022,,D08. 005,2022,,https://ui.adsabs.harvard.edu/abs/2022APS..APRD08005S/abstract,
"Klein, Kyle; Matava, William; Layden, Christopher; Sadam, Akhil; Lang, Karol; Proga, Marek; Tavernier, Stefaan; ",Time-of-Flight PET for Proton Therapy (TPPT),APS April Meeting Abstracts,2022,,K17. 061,2022,,https://ui.adsabs.harvard.edu/abs/2022APS..APRK17061K/abstract,
"Layden, Christopher; Klein, Kyle; Matava, William; Sadam, Akhil; Abouzahr, Firas; Proga, Marek; Majewski, Stanislaw; Nuyts, Johan; Lang, Karol; ",Design and modeling of a high resolution and high sensitivity PET brain scanner with double-ended readout,Biomedical Physics & Engineering Express,8,2,025011,2022,IOP Publishing,https://doi.org/10.1088/2057-1976/ac4f0a,
"Tran, Hoang; Li, Hao; Sadam, Akhil; Tran, Vinh; Dang, Thanh Duc; Nguyen, Van Tam; Le, ManhHung; Do, Hong Xuan; Pham, Hung Thanh; Bui-Thanh, Tan; ",Medium-range weather forecast using Predictive Recurrent Neural Networks,AGU Fall Meeting Abstracts,2023,1945,H31C-02,2023,,https://ui.adsabs.harvard.edu/abs/2023AGUFM.H31C..02T/abstract,
"Babu, Anantha Narayanan Suresh; Sadam, Akhil; Lermusiaux, Pierre FJ; ",Guided Unconditional and Conditional Generative Models for Super-Resolution and Inference of Quasi-Geostrophic Turbulence,JAMES,,,,2026,,https://doi.org/10.1029/2025MS005324,
"Sadam, Akhil; Lermusiaux, Pierre FJ; ",Multiscale delay neural operators for fluid and ocean flows,SIAM GS25 & 18th USNCCM,,,,2025,,https://mseas.mit.edu/?p=7043,
"Babu, Anantha Narayanan Suresh; Sadam, Akhil; Lermusiaux, Pierre FJ; ",Modified dynamic mixed subgrid-scale models for forced two-dimensional and beta-plane turbulence,Physics Review Fluids (in-prep),,,,2026,,,
"Babu, Anantha Narayanan Suresh; Sadam, Akhil; Lermusiaux, Pierre FJ; ",Super-resolution-based stochastic generative turbulence closures, Journal of Fluid Mechanics (in-prep),,,,2026,,,
"Sadam, Akhil; Babu, Anantha Narayanan Suresh; Lermusiaux, Pierre FJ; ",Fast flow-matching models for high-resolution missing physics closure, Journal of Comp. Physics (in-prep),,,,2026,,,
"Babu, Anantha Narayanan Suresh; Sadam, Akhil; Lermusiaux, Pierre FJ; ",Evaluation of Analytical Turbulence Closures for Quasi-Geostrophic Ocean Flows with Coastal Boundaries,IEEE Oceans,,,,2025,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11245082,
